Name,Yearly Performance,Volatility
ITOS,34.27974948,7.57275132
ITRM,4.42307692,4.65420561
IVC,-52.07852194,2.94117647
JAGX,205.2326346,6.3583815
JANX,-18.88667992,7.08973723
JAZZ,-5.68772218,1.42097209
JNCE,26.9393512,6.60397074
JNJ,8.91864747,1.06382979
JSPR,-16.1607693,12.18026797
KALA,-71.23834887,5.36585366
KALV,-9.12371134,4.39882698
KDNY,17.23891273,4.37539632
KEQU,41.44444444,0.39432177
KIDS,45.13120798,7.62549801
KLDO,-35.13139696,5.32608696
KMDA,-15.46546547,1.60714286
KMPH,-12.6953125,2.80269058
KNSA,-15.43007223,2.66249021
KNTE,-43.32564694,3.78054403
KOD,-5.49719888,5.29474397
KPRX,-55.45977011,6.75675676
KPTI,-47.17791411,8.81612091
KRBP,-70.21505376,12.68115942
KRMD,-20.83333333,8.30860534
KRON,-48.59926918,4.83180428
KROS,-5.82509733,3.58781127
KRTX,35.45864662,3.2491519
KRYS,15.98282443,5.89120619
KTTA,-29.49438202,6.63900415
KURA,-55.81923757,3.65135453
KYMR,19.10046729,2.96498183
KZR,103.6906854,38.31562615
LABP,-11.16666667,31.54929577
LCI,-68.84735202,4.5
LCTX,74.28571429,4.62184874
LEGN,88.21428571,14.78277586
LFVN,-35.46099291,6.53409091
LGND,94.12118298,4.61970075
LGVN,-57.82726046,8.46579805
LHDX,-72.01761409,17.55233494
LIAN,15.69343066,3.19010417
LIFE,160.5504587,3.82317802
LIVN,64.07859596,2.5819817
LIXT,-66.47775679,4.30247718
LJPC,-14.58773784,4.06091371
LLY,82.52124646,1.70319153
LMAT,37.80645161,4.05786211
LMNL,-58.39793282,4.42377065
LNSR,-21.875,2.80898876
LNTH,136.6479551,1.73528411
LOGC,-42.5566343,7.08215297
LPCN,-17.36111111,3.44827586
LPTX,55.84415584,4.68085106
LQDA,41.8879056,5.88235294
LRMR,-53.33633904,6.38297872
LTRN,-39.0070922,5.02702703
LUCD,-11.05442177,7.80338245
LUMO,-43.41772152,6.83371298
LUNG,-18.67779204,2.87808128
LVTX,-51.53846154,5.25701956
LXRX,181.2154696,3.83064516
LYEL,-35.22794553,3.60777058
LYRA,-37.10118505,4.34782609
MACK,17.1875,4.31818182
MASI,20.44381682,1.15771812
MASS,-37.51020408,5.12691209
MBIO,-23.43234323,5.97345133
MBOT,-7.37704918,2.50737463
MBRX,-51.35203437,6.07265977
MCRB,-78.31963954,5.97551823
MDGL,-25.51988022,3.43855693
MDGS,-26.04166667,4.25531915
MDT,7.12729254,1.61939851
MDVL,-81.27062706,4.07239819
MDWD,-17.32283465,10.32258065
MDXG,20.72072072,3.58974359
ME,12.14285714,4.62962963
MEIP,3.78006873,4.66666667
MGNX,-10.46511628,3.48652932
MGTA,5.40145985,5.44692737
MGTX,32.2324967,7.8197825
MIRM,-20.98458478,4.30247718
MIRO,-53.2152231,6.77603424
MIST,4.42073171,5.10510511
MITO,-32.89473684,1.98019802
MLAB,6.77609573,2.34200059
MLSS,66.66666667,13.33333333
